Name,Preis pro Nacht,Zeitraum
Möbliertes Studio mit Garten,CHF 98.67,Openair St.Gallen
"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",CHF 100.33,Openair St.Gallen
TouchBed | Loft mit Loggia und Whirlpool,CHF 500.67,Openair St.Gallen
Elegante 3 Zimmer Residenz,CHF 187.33,Openair St.Gallen
Das Haus mit dem Schwein,CHF 66.00,Openair St.Gallen
heimelige Wohnung in Goldach,CHF 95.33,Openair St.Gallen
Engelburg Zuhause mit Aussicht,CHF 50.33,Openair St.Gallen
"Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum",CHF 236.67,Openair St.Gallen
1er Zimmer ruhig 5 Min. bis ÖV,CHF 67.00,Openair St.Gallen
Happystay Zentrum Busticket 4free,CHF 128.67,Openair St.Gallen
Stadtstudio,CHF 135.33,Openair St.Gallen
Komfortables Doppelzimmer – zentral,CHF 44.00,Openair St.Gallen
Bella Vista,CHF 154.67,Openair St.Gallen
Ganze Wohnung mitten in der Altstadt von Arbon,CHF 94.33,Openair St.Gallen
Gemütliche Unterkunft am ruhigen Stadtrand,CHF 112.00,Openair St.Gallen
"Attika 2,5 Zimmer möbliert Nähe HSG Universität",CHF 190.33,Openair St.Gallen
TouchBed | Superior-Studio,CHF 239.00,Openair St.Gallen
"Gelb, gelb, gelb, gelb!",CHF 205.33,Openair St.Gallen
Studio-Apartment im Zentrum Rorschach,CHF 112.33,Openair St.Gallen
Hotel Elite 24-Stunden-Self-Check-in,CHF 82.00,Openair St.Gallen
spezielle Wohnung in Goldach,CHF 99.00,Openair St.Gallen
Appenzellerhaus mit viel Charme am Fusse des Kaien,CHF 52.00,Openair St.Gallen
Möblierte stilvolle Wohnung nähe HSG Universität,CHF 183.33,Openair St.Gallen
Premium Atmosphäre pur,CHF 441.33,Openair St.Gallen
"Klara 1022 - Olma, Spital, Universität St. Gallen",CHF 605.33,Openair St.Gallen
Es können zwei Personen darin schlafen.,CHF 46.33,Openair St.Gallen
Penthouse-Wohnung mit 250 m² Terrasse,CHF 303.00,Openair St.Gallen
Genieße den Seeblick von der Dachterrasse,CHF 243.67,Openair St.Gallen
Maisonette am Bodensee | Parkplatz | Hoher Komfort,CHF 372.67,Openair St.Gallen
Wellnessoase,CHF 296.00,Openair St.Gallen
Möbliertes Studio mit Garten,CHF 68.60,Olma
Gemütliche Wohnung,CHF 85.10,Olma
"St.Gallen zentral, ruhig, bei Badeweihern und Wald",CHF 110.40,Olma
heimelige Wohnung in Goldach,CHF 73.00,Olma
Das Haus mit dem Schwein,CHF 62.80,Olma
Studio im UG an ruhiger Lage,CHF 77.30,Olma
Charmante Wohnung auf dem Lande und doch zentral,CHF 95.70,Olma
4 Zimmer mit Charme an bester Lage,CHF 130.60,Olma
BLIV: Grosszügiges Altbaujuwel im Zentrum,CHF 342.10,Olma
Studio mit Panoramaaussicht,CHF 71.00,Olma
2.5 Zimmer Dachwohnung mit Gartensitzplatz,CHF 107.80,Olma
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,CHF 84.30,Olma
Ganze Wohnung mitten in der Altstadt von Arbon,CHF 69.00,Olma
Zur Geduld (direkt am Bahnhof),CHF 88.40,Olma
Schönes Zimmer in der Nähe von HSG,CHF 65.50,Olma
Haus am Bodensee mit grossem Garten,CHF 163.00,Olma
TouchBed | Loft mit Loggia und Whirlpool,CHF 374.20,Olma
Bella Vista,CHF 121.20,Olma
1er Zimmer ruhig 5 Min. bis ÖV,CHF 66.00,Olma
"Stilvolle Wohnung, historischer Charme/Altstadt",CHF 247.90,Olma
"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",CHF 84.20,Olma
2. Modernes Apartment 2 Min vom Bahnhof,CHF 172.00,Olma
Studio in ruhigem Quartier/UG,CHF 98.50,Olma
Historischer Charme in der Altstadt. Superior-DZ,CHF 134.60,Olma
Charmante und zentrale Wohnung am Weiherpark Arbon,CHF 139.00,Olma
Bijoux Ferienwohnung auf Bauernhof im Wald,CHF 104.70,Olma
Ferienwohnung Narnia,CHF 101.80,Olma
"1-Zimmer-Wohnung, voll möbliert, modern, zentral",CHF 97.20,Olma
Ferienwohnung Hirschen,CHF 156.30,Olma
Studio mit Charme und Aussicht,CHF 71.00,Olma
