Name,Gesamtpreis in CHF,Preis pro Nacht in CHF,Zeitraum
"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",301,100.33,Openair
Premium Atmosphäre pur,1’343,447.67,Openair
"Zwei helle Zimmer, Küche und Bad",294,98.00,Openair
BLIV: Exklusive Dachgeschosswohnung im Zentrum,1’449,483.00,Openair
"Gelb, gelb, gelb, gelb!",616,205.33,Openair
"Klara 1034- Olma, Spital, Universität St. Gallen",1’012,337.33,Openair
Appenzellerhaus mit viel Charme am Fusse des Kaien,156,52.00,Openair
Studio-Apartment im Zentrum Rorschach,337,112.33,Openair
"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",654,218.00,Openair
"Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!",828,276.00,Openair
Stadtwohnung mit Küche & gratis Parkplatz,1’001,333.67,Openair
Gemütliches Apartment am Schloss,360,120.00,Openair
Schönes Zimmer in der Nähe des Stadtzentrums,128,42.67,Openair
Ruhiger Ort auf dem Dorfhügel.,139,46.33,Openair
Charmante Wohnung mit Blick zum Säntis,692,230.67,Openair
Casa Siddhartha - R. Musil,189,63.00,Openair
Ganze Wohnung mitten in der Altstadt von Arbon,283,94.33,Openair
Modernes Studio nahe Bodensee | Ruhig & zentral,245,81.67,Openair
Schöne 2 1/2 Zimmer Dachwohnung,508,169.33,Openair
Casa Siddhartha - „Hemingway“,148,49.33,Openair
"Herzige Dachwohnung in St. Georgen, St. Gallen",422,140.67,Openair
Schlossapartament,330,110.00,Openair
"1 Zi-Studio zentral, ruhig im Gertrud Schlössli",450,150.00,Openair
Moderne Wohnung nahe Messe und Zentrum,1’115,371.67,Openair
Gästezimmer im Grünen,225,75.00,Openair
Casa Siddhartha - „H.Hesse“,165,55.00,Openair
"BLIV: Design-Apartment mit Parkplatz, nahe Zentrum",1’664,554.67,Openair
"Haus mit Garten,  ruhig, Top Aussicht,  (Zimmer 1)",258,86.00,Openair
"Klara 0002 - Olma, Spital, Universität St. Gallen",928,309.33,Openair
Ruhe für Musiker! B&B am Bodensee.,307,102.33,Openair
Maisonette am Bodensee | Parkplatz | Hoher Komfort,1’097,365.67,Openair
"Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk",913,304.33,Openair
Ruhiges Tiny House in der Nähe des Waldes,475,158.33,Openair
Moderne Wohnung nahe Messe und Zentrum,1’115,371.67,Openair
Säntiszimmer,132,44.00,Openair
Ruhiger Ort auf dem Dorfhügel Wittenbach,115,38.33,Openair
Gemütliche Souterrainwohnung mit gratis Parkplatz,673,224.33,Openair
Swissyurte (Rundhaus) Natur pur Ideal für 2 Pers.,230,76.67,Openair
TouchBed | Business Apartment Top Floor,731,243.67,Openair
Penthouse-Wohnung mit 250 m² Terrasse,909,303.00,Openair
TouchBed | Loft mit Loggia und Whirlpool,1’527,509.00,Openair
Ruhige Lage am Bodensee,704,234.67,Openair
Zimmer an der Fahrradroute am Bodensee,225,75.00,Openair
