Event,Name,Preis Pro Nacht
OASG,Gästezimmer mit Dusche/WC,CHF 63.67
OASG,Schönes Zimmer in der Nähe des Stadtzentrums,CHF 42.67
OASG,Happystay Zentrum Busticket 4free,CHF 128.67
OASG,"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",CHF 100.33
OASG,Hotel Elite 24-Stunden-Self-Check-in,CHF 82.00
OASG,Casa Siddhartha - R. Musil,CHF 63.00
OASG,Casa Siddhartha - „Hemingway“,CHF 49.33
OASG,Appenzellerhaus mit viel Charme am Fusse des Kaien,CHF 52.00
OASG,Ruhiger Ort auf dem Dorfhügel Wittenbach,CHF 38.33
OASG,Ruhe und Bescheidenheit,CHF 71.67
OASG,Das Haus mit dem Schwein,CHF 66.00
OASG,1er Zimmer ruhig 5 Min. bis ÖV,CHF 67.00
OASG,Säntiszimmer,CHF 44.00
OASG,NTN HoSTEL 3,CHF 63.33
OASG,Casa Siddhartha - Th. Mann,CHF 59.67
OASG,Stadtstudio,CHF 135.33
OASG,Ruhe für Musiker! B&B am Bodensee.,CHF 102.33
OASG,Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN,CHF 51.67
OASG,Nani’s Höckli im Appenzellerland,CHF 104.00
OASG,Es können zwei Personen darin schlafen.,CHF 46.33
OASG,"Haus mit Garten, ruhig, Top Aussicht (Zimmer 2)",CHF 86.00
OASG,Casa Siddhartha - „H.Hesse“,CHF 55.00
OASG,NTN HoSTEL 2,CHF 63.33
OASG,Möbliertes Studio mit Garten,CHF 98.67
OASG,Moderne Wohnung nahe Bodensee – Goldach,CHF 97.00
OASG,"Haus mit Garten, ruhig, Top Aussicht, (Zimmer 1)",CHF 86.00
OASG,"Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum",CHF 236.67
OASG,Gemütliches Apartment am Schloss,CHF 120.00
OASG,Schlossapartament,CHF 125.00
OASG,heimelige Wohnung in Goldach,CHF 95.33
OLMA,Mein Haus ihr Haus,CHF 54.70
OLMA,hübsche Wohnung mit Sonnenterrasse,CHF 98.00
OLMA,Altstadtflair in historischem Doppelzimmer,CHF 121.80
OLMA,Weltbürger:in 7,CHF 118.50
OLMA,1 Zimmerwohnung ohne Küche mitten im Zentrum,CHF 80.90
OLMA,Es können zwei Personen darin schlafen.,CHF 43.20
OLMA,Zentrales Studio | 5 Min. zum Bahnhof,CHF 145.20
OLMA,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,CHF 84.30
OLMA,CityLodge St.Gallen. Familienzimmer für 4 Gäste,CHF 118.30
OLMA,Das Haus mit dem Schwein,CHF 62.80
OLMA,Möbliertes Studio mit Garten,CHF 68.60
OLMA,"St.Gallen zentral, ruhig, bei Badeweihern und Wald",CHF 110.40
OLMA,St Gallen City- 5 min. vom Bahnhof- klein & fein,CHF 161.90
OLMA,Schönes Zimmer in der Nähe des Stadtzentrums,CHF 46.10
OLMA,gemütliche Dachwohnung,CHF 100.90
OLMA,St. Gallen ist schön,CHF 55.20
OLMA,Gästezimmer mit Dusche/WC,CHF 61.60
OLMA,Stadtstudio,CHF 101.90
OLMA,Gemütliche Wohnung,CHF 85.10
OLMA,heimelige Wohnung in Goldach,CHF 73.00
OLMA,Studio mit Charme und Aussicht,CHF 71.00
OLMA,Zentrales Studio | 5 Min. zum Bahnhof,CHF 145.20
OLMA,"2 Zimmer mit Balkon, Netflix und Mietfahrräder",CHF 104.60
OLMA,Stilvolles Doppelzimmer/Historisches Altstadtflair,CHF 119.80
OLMA,Historischer Charme in der Altstadt. Superior-DZ,CHF 134.60
OLMA,Fühlen sie sich wie zu Hause,CHF 60.20
OLMA,"Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus",CHF 84.20
OLMA,Ein bett im Keller/ Abstellraum,CHF 42.70
OLMA,TouchBed | Budget Zwei-Bett-Zimmer,CHF 97.40
OLMA,Studio in ruhigem Quartier/UG,CHF 98.50
