Unterkünfte in St. Gallen während dem Openair St. Gallen (25.06.-28.06.2026);;;
#;Name der Unterkunft;Preis pro Nacht (CHF);Gesamtpreis 3 Nächte (CHF)
1;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;100.33;301.00
2;Möbliertes Studio mit Garten;98.67;296.00
3;Das Haus mit dem Schwein;66.00;198.00
4;Möblierte stilvolle Wohnung nähe HSG Universität;183.33;550.00
5;heimelige Wohnung in Goldach;95.33;286.00
6;Happystay Zentrum Busticket 4free;106.00;318.00
7;Schönes Zimmer in der Nähe von HSG;89.33;268.00
8;Stadtstudio;135.33;406.00
9;Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum;236.67;710.00
10;Komfortables Doppelzimmer – zentral;44.00;132.00
11;1er Zimmer ruhig 5 Min. bis ÖV;67.00;201.00
12;Ganze Wohnung mitten in der Altstadt von Arbon;94.33;283.00
13;Gelb, gelb, gelb, gelb!;205.33;616.00
14;Bella Vista;154.67;464.00
15;Attika 2,5 Zimmer möbliert Nähe HSG Universität;190.33;571.00
16;Es können zwei Personen darin schlafen.;46.33;139.00
17;Genieße den Seeblick von der Dachterrasse;243.67;731.00
18;Appenzellerhaus mit viel Charme am Fusse des Kaien;52.00;156.00
19;Premium Atmosphäre pur;441.33;1’324.00
20;Leimathof Wohnung Typ II;239.00;717.00
21;Maisonette am Bodensee | Parkplatz | Hoher Komfort;372.67;1’118.00
22;spezielle Wohnung in Goldach;99.00;297.00
23;Elegante 3 Zimmer Residenz;187.33;562.00
24;Hotel Elite 24-Stunden-Self-Check-in;82.00;246.00
25;TouchBed | Große 3-Zimmer-Wohnung Erdgeschoss;663.00;1’989.00
26;Ruhige Lage am Bodensee;233.33;700.00
27;TouchBed | Superior-Studio;239.00;717.00
28;Gästezimmer mit Dusche/WC;53.00;159.00
29;TouchBed | Loft mit Loggia und Whirlpool;500.67;1’502.00
30;Moderne Wohnung nahe Bodensee – Goldach;97.00;291.00
;;;
;;;
Unterkünfte in St. Gallen während der OLMA (08.10.-18.10.2026);;;
#;Name der Unterkunft;Preis pro Nacht (CHF);Gesamtpreis 10 Nächte (CHF)
1;BLIV: Grosszügiges Altbaujuwel im Zentrum;342.10;3’421.00
2;Möbliertes Studio mit Garten;68.60;686.00
3;Das Haus mit dem Schwein;43.60;436.00
4;4 Zimmer mit Charme an bester Lage;130.60;1’306.00
5;Charmante Wohnung auf dem Lande und doch zentral;87.80;878.00
6;heimelige Wohnung in Goldach;67.40;674.00
7;Schönes Zimmer in der Nähe von HSG;60.00;600.00
8;Studio mit Panoramaaussicht;60.00;600.00
9;Haus am Bodensee mit grossem Garten;150.50;1’505.00
10;Studio im UG an ruhiger Lage;77.30;773.00
11;Zur Geduld (direkt am Bahnhof);70.60;706.00
12;St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;77.30;773.00
13;Gemütliche Wohnung;77.90;779.00
14;St.Gallen zentral, ruhig, bei Badeweihern und Wald;101.80;1’018.00
15;Ganze Wohnung mitten in der Altstadt von Arbon;61.20;612.00
16;2.5 Zimmer Dachwohnung mit Gartensitzplatz;107.80;1’078.00
17;Stilvolle Wohnung, historischer Charme/Altstadt;227.10;2’271.00
18;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;84.20;842.00
19;1-Zimmer-Wohnung, voll möbliert, modern, zentral;97.20;972.00
20;Studio mit Charme und Aussicht;60.00;600.00
21;Bella Vista;100.80;1’008.00
22;Bijoux Ferienwohnung auf Bauernhof im Wald;91.60;916.00
23;Studio in ruhigem Quartier/UG;98.50;985.00
24;Historischer Charme in der Altstadt. Superior-DZ;117.50;1’175.00
25;Charmante und zentrale Wohnung am Weiherpark Arbon;128.00;1’280.00
26;gemütliche Dachwohnung;92.50;925.00
27;TouchBed | Budget Zwei-Bett-Zimmer;97.40;974.00
28;1er Zimmer ruhig 5 Min. bis ÖV;60.20;602.00
29;1 Zimmerwohnung ohne Küche mitten im Zentrum;74.30;743.00
30;TouchBed | Große 4-Zimmer-Wohnung im Obergeschoss;395.30;3’953.00
