Event;Name;Preis total in CHF;Preis pro Nacht
Openair;Das Haus mit dem Schwein;198;66
Openair;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;301; 100,33 
Openair;Elegante 3 Zimmer Residenz;683; 227,67 
Openair;Es können zwei Personen darin schlafen.;139; 46,33 
Openair;Stadtstudio;444; 148,00 
Openair;Attika 2,5 Zimmer möbliert Nähe HSG Universität;578; 192,67 
Openair;Historischer Charme in der Altstadt. Superior DZ;305; 101,67 
Openair;Schönes Zimmer in der Nähe von HSG;222; 74,00 
Openair;Engelburg Zuhause mit Aussicht;151; 50,33 
Openair;Liebevolle kleine Wohnung in St. Gallen nähe Uni;216; 72,00 
Openair;St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;202; 67,33 
Openair;Moderne 80m²-Wohnung, Balkon & gratis Parkplatz;599; 199,67 
Openair;kleines Juwel -mit Terrasse;450; 150,00 
Openair;heimelige Wohnung in Goldach;286; 95,33 
Openair;Klara 1034- Olma, Spital, Universität St. Gallen;1344; 448,00 
Openair;Hotel Elite 24-Stunden-Self-Check-in;246; 82,00 
Openair;Bella Vista;478; 159,33 
Openair;Genieße den Seeblick von der Dachterrasse;739; 246,33 
Openair;Gemütliche Unterkunft am ruhigen Stadtrand;336; 112,00 
Openair;Premium Atmosphäre pur;1343; 447,67 
Openair;Gelb, gelb, gelb, gelb!;616; 205,33 
Openair;YELLOW INN 7 nähe Uni, Olma, Spital, FHS;880; 293,33 
Openair;spezielle Wohnung in Goldach;297; 99,00 
Openair;Gästezimmer im Grünen;225; 75,00 
Openair;TouchBed | Superior-Studio;729; 243,00 
Openair;spezielle Wohnung in Goldach;297; 99,00 
Openair;Appenzellerhaus mit viel Charme am Fusse des Kaien;156; 52,00 
Openair;Schöne 2 1/2 Zimmer Dachwohnung;497; 165,67 
Openair;Casa Siddhartha - R. Musil;189; 63,00 
Openair;Schönes Zimmer in der Nähe des Stadtzentrums;128; 42,67 
Openair;Charmante Wohnung mit Blick zum Säntis;692; 230,67 
Openair;Zwei helle Zimmer, Küche und Bad;294; 98,00 
Openair;1 Zi-Studio zentral, ruhig im Gertrud Schlössli;451; 150,33 
Openair;1er Zimmer ruhig 5 Min. bis ÖV;201; 67,00 
Openair;Ganze Wohnung mitten in der Altstadt von Arbon;283; 94,33 
Openair;Klara 1022 - Olma, Spital, Universität St. Gallen;1925; 641,67 
Openair;Casa Siddhartha - „Hemingway“;148; 49,33 
Openair;Haus mit Garten, ruhig, Top Aussicht, (Zimmer 1);258; 86,00 
Openair;Modernes Studio nahe Bodensee | Ruhig & zentral;245; 81,67 
Openair;Das Rocky Docky-Haus gemütliche Wohnung in Andwil;343; 114,33 
Openair;Gemütliches Apartment am Schloss;360; 120,00 
Openair;Ruhiges Tiny House in der Nähe des Waldes;475; 158,33 
Openair;Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!;1076; 358,67 
Openair;Ruhe für Musiker! B&B am Bodensee.;307; 102,33 
Openair;Säntiszimmer;132; 44,00 
Openair;Herzige Dachwohnung in St. Georgen, St. Gallen;422; 140,67 
Openair;BLIV: Exklusive Dachgeschosswohnung im Zentrum;1961; 653,67 
Openair;Moderne Stadtwohnung;595; 198,33 
Openair;Casa Siddhartha - „H.Hesse“;165; 55,00 
Openair;BLIV: Design-Apartment mit Parkplatz, nahe Zentrum;2111; 703,67 
Openair;Maisonette am Bodensee | Parkplatz | Hoher Komfort;1103; 367,67 
Openair;Auszeit an der Sitter (Hunde erlaubt);444; 148,00 
Openair;Gemütliches Apartment auf dem Dach mit 1 Schlafzimmer;485; 161,67 
Openair;Swissyurte (Rundhaus) Natur pur Ideal für 2 Pers.;230; 76,67 
Openair;Stadtwohnung mit Küche & gratis Parkplatz;1300; 433,33 
Openair;Dom Studio M ohne Reinigung;812; 270,67 
Openair;Dom Studio K ohne Reinigung;784; 261,33 
Openair;Zimmer an der Fahrradroute am Bodensee;225; 75,00 
Openair;Ruhige Lage am Bodensee;700; 233,33 
Openair;Stilvolle Wohnung mit Balkon nahe Bodensee;614; 204,67 
Openair;Ruhige Lage am Bodensee;700; 233,33 
Openair;Penthouse-Wohnung mit 250 m² Terrasse;909; 303,00 
Openair;Stilvolle Wohnung mit Balkon nahe Bodensee;614; 204,67 
Openair;Designstudio 55 m² – St. Georgen-Straße;919; 306,33 
Openair;Modernes Studio – Steigerstraße;701; 233,67 
Openair;TouchBed | Business Apartment Top Floor;769; 256,33 
Openair;Schlossapartament;330; 110,00 
Openair;Haus MiLu Ferienwohnung;450; 150,00 
Openair;"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah";228; 76,00 
Openair;TouchBed | Loft mit Loggia und Whirlpool;1527; 509,00 
Openair;Wellnessoase;888; 296,00 
Openair;Ferienhaus Bijou-Sitterblick, Preis für 2 Personen;358; 119,33 
Openair;Appenzeller Hausteil mit Garten;449; 149,67 
Openair;YELLOW INN B 28 nähe Uni, Olma, Spital, FHS;880; 293,33 
Openair;Klara 0002 - Olma, Spital, Universität St. Gallen;1227; 409,00 
Openair;Lago Apartment in Rorschach 1 Min. zum See;635; 211,67 
Openair;Superior Apartment mit Seesicht;585; 195,00 
Openair;Helle Wohnung in Rorschacherberg am Bodensee;271; 90,33 
Openair;Helle Wohnung in Rorschacherberg am Bodensee;271; 90,33 
Openair;Einzelbett in einem Schlafsaal mit 6 Betten;181; 60,33 
Openair;S-Cape Suite&Spa - Pure Auszeit;704; 234,67 
Openair;Klara 1014 – Olma, Spital, Uni St. Gallen;1354; 451,33 
Openair;Gemütliche Souterrainwohnung mit gratis Parkplatz;859; 286,33 
Openair;3 Doppelzimmer Apartment in 9320 Arbon 8 A;425; 141,67 
Openair;Klara 1033 - Olma, Spital, Universität St. Gallen;1273; 424,33 
Openair;book2stay 2.5-Zimmer Apartment #8 Säntis bis zu 6;2035; 678,33 
Openair;Doppelzimmer ruhige Lage nahe ÖV;398; 132,67 
Openair;Studio mit Balkon in der Altstadt von St. Gallen;1486; 495,33 
Openair;Casa Siddhartha - Th. Mann;179; 59,67 
Openair;Vintage Rustica 31 zur Olma 1 Min.;963; 321,00 
Openair;Studio Apartment mit Seesicht;549; 183,00 
Openair;Ganze Wohnung nahe Messe & Zentrum;1641; 547,00 
Openair;Zimmer für 4 Personen;403; 134,33 
Openair;Ruhiger Ort auf dem Dorfhügel Wittenbach;115; 38,33 
Openair;Bijoux am Bodensee;204; 68,00 
Openair;schöne Wohnung in Flawil - neu, naturnah, ruhig;594; 198,00 
Openair;NTN HoSTEL 3;190; 63,33 
Openair;schöne Wohnung in Flawil - neu, naturnah, ruhig;594; 198,00 
Openair;Seeblick-Apartment mit Balkon;731; 243,67 
Openair;Zimmer für 3 Personen;382; 127,33 
;;;
OLMA;Das Haus mit dem Schwein;436;43,6
OLMA;St.Gallen zentral, ruhig, bei Badeweihern und Wald;1031;103,1
OLMA;4 Zimmer mit Charme an bester Lage;1306;130,6
OLMA;Gemütliche Wohnung;779;77,9
OLMA;St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;773;77,3
OLMA;Idyllische Wohnung in der Natur;1426;142,6
OLMA;BLIV: Grosszügiges Altbaujuwel im Zentrum;3421; 342,10 
OLMA;Studio mit Panoramaaussicht;600;60
OLMA;Stilvolle Wohnung, historischer Charme/Altstadt;2289; 228,90 
OLMA;Gästezimmer mit Dusche/WC;571; 57,10 
OLMA;Zur Geduld (direkt am Bahnhof);706; 70,60 
OLMA;heimelige Wohnung in Goldach;674; 67,40 
OLMA;2. Modernes Apartment 2 Min vom Bahnhof;1510; 151,00 
OLMA;1 Zimmerwohnung ohne Küche mitten im Zentrum;743; 74,30 
OLMA;hübsche Wohnung mit Sonnenterrasse;980; 98,00 
OLMA;Bijoux Ferienwohnung auf Bauernhof im Wald;916; 91,60 
OLMA;Kernsanierte Wohnung nähe Bahnhof und Zentrum;1150; 115,00 
OLMA;2.5 Zimmer, modern, ruhig und zentrumsnah;1373; 137,30 
OLMA;Bijoux Ferienwohnung auf Bauernhof im Wald;916; 91,60 
OLMA;Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;842; 84,20 
OLMA;2 Zimmer mit Balkon, Netflix und Mietfahrräder;1046; 104,60 
OLMA;Stilvolle Wohnung, historischer Charme/Altstadt;2289; 228,90 
OLMA;2.5 Zimmer, modern, ruhig und zentrumsnah;1373; 137,30 
OLMA;Kernsanierte Wohnung nähe Bahnhof und Zentrum;1150; 115,00 
OLMA;2.5 Zimmer Dachwohnung mit Gartensitzplatz;1078; 107,80 
OLMA;Charmante, sehr zentral gelegene 4-Zimmerwohnung;1669; 166,90 
OLMA;Studio mit Charme und Aussicht;600; 60,00 
OLMA;Fühlen sie sich wie zu Hause;541; 54,10 
OLMA;Ganze Wohnung mitten in der Altstadt von Arbon;612; 61,20 
OLMA;Es können zwei Personen darin schlafen.;397; 39,70 
OLMA;1-Zimmer-Wohnung, voll möbliert, modern, zentral;969; 96,90 
OLMA;Modernes Apartment mit Balkon & Parkplatz/Nähe See;2013; 201,30 
OLMA;gemütliche Dachwohnung;912; 91,20 
OLMA;hübsche Wohnung mit Sonnenterrasse;980; 98,00 
OLMA;Weltbürger:in 7;1090; 109,00 
OLMA;TouchBed | Budget Zwei-Bett-Zimmer;983; 98,30 
OLMA;Haus am Bodensee mit grossem Garten;1505; 150,50 
OLMA;Studio Trailalps: in der Nähe von St. Gallen;657; 65,70 
OLMA;TouchBed | Große 4-Zimmer-Wohnung im Obergeschoss;4011; 401,10 
OLMA;Ferienwohnung klein aber fein;840; 84,00 
OLMA;YELLOW INN 7 nähe Uni, Olma, Spital, FHS;1583; 158,30 
OLMA;Charmante Wohnung im Zentrum von Goldach;771; 77,10 
OLMA;Mein Haus ihr Haus;501; 50,10 
OLMA;Stilvolles, historisches Doppelzimmer/ Altstadt;1018; 101,80 
OLMA;Charmante grosse Wohnung nähe Zentrum und Autobahn;973; 97,30 
OLMA;Genieße den Seeblick von der Dachterrasse;1675; 167,50 
OLMA;Charmante Wohnung mit Blick zum Säntis;1688; 168,80 
OLMA;Zentrales Studio | 5 Min. zum Bahnhof;1142; 114,20 
OLMA;Modernes Studio nahe Bodensee | Ruhig & zentral;640; 64,00 
OLMA;Idyllisches Plätzchen in Thurgauer Weiler;842; 84,20 
OLMA;Casa Siddhartha - „H.Hesse“;429; 42,90 
OLMA;1. Modernes Apartment 2 Min vom Bahnhof;1510; 151,00 
OLMA;Ferienwohnung Hirschen;1381; 138,10 
OLMA;Ferien auf dem Billenberghof;1486; 148,60 
OLMA;Ferien auf dem Billenberghof;1486; 148,60 
OLMA;spezielle Wohnung in Goldach;748; 74,80 
OLMA;Gelb, gelb, gelb, gelb!;1596; 159,60 
OLMA;Stadtstudio;899; 89,90 
OLMA;Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum;2160; 216,00 
OLMA;BLIV: Design-Apartment mit Parkplatz, nahe Zentrum;3070; 307,00 
OLMA;Das Rocky Docky-Haus gemütliche Wohnung in Andwil;889; 88,90 
OLMA;Heimeliges altes Ferienhäuschen in Wald AR;1028; 102,80 
OLMA;Zwei helle Zimmer, Küche und Bad;840; 84,00 
OLMA;Casa Siddhartha - R. Musil;497; 49,70 
OLMA;Zentrales Studio | 5 Min. zum Bahnhof;1155; 115,50 
OLMA;Appartment mit luxeriösem Bad;1256; 125,60 
OLMA;Charmante und zentrale Wohnung am Weiherpark Arbon;1280; 128,00 
OLMA;TouchBed | Große 3-Zimmer-Wohnung Erdgeschoss;3062; 306,20 
OLMA;Schmuckes Zimmer (Bett 140x200 ) nahe REHA Klinik;418; 41,80 
OLMA;Auszeit an der Sitter (Hunde erlaubt);1147; 114,70 
OLMA;Zu Gast im Hecht Rehetobel;704; 70,40 
OLMA;Schönes Zimmer in der Nähe des Stadtzentrums;383; 38,30 
OLMA;Historisches Penthouse-Apartment in der Altstadt;1793; 179,30 
OLMA;BLIV: Exklusive Dachgeschosswohnung im Zentrum;2904; 290,40 
OLMA;Altstadt Dachwohnung;1412; 141,20 
OLMA;St Gallen City- 5 min. vom Bahnhof- klein & fein;1199; 119,90 
OLMA;Gemütliche Ferienwohnung auf Bio Bauernhof;992; 99,20 
OLMA;Nani’s Höckli im Appenzellerland;814; 81,40 
OLMA;Altstadtflair in historischem Doppelzimmer;1108; 110,80 
OLMA;Umweltfreundl. Rooftop Apart. St. Gallen Zentrum;2054; 205,40 
OLMA;Ein bett im Keller/ Abstellraum;427; 42,70 
OLMA;"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah";594; 59,40 
OLMA;grosse Privat-Zimmer in sonnigem Einfamilienhaus;556; 55,60 
OLMA;Ruhe für Musiker! B&B am Bodensee.;948; 94,80 
OLMA;Doppelzimmer in EFH nahe REHAKLINIK mit free WLAN;418; 41,80 
OLMA;Stilvolles Doppelzimmer/Historisches Altstadtflair;1096; 109,60 
OLMA;Zimmer an der Fahrradroute am Bodensee;824; 82,40 
OLMA;TouchBed | Budget-Studio;1352; 135,20 
OLMA;Ruhiges Tiny House in der Nähe des Waldes;1235; 123,50 
OLMA;Studio mit Balkon in der Altstadt von St. Gallen;1671; 167,10 
OLMA;Ferienwohnung Haggen;1268; 126,80 
OLMA;"""Säntis"", ruhige Lage, freundl. Zimmer "", seenah.";577; 57,70 
OLMA;TouchBed | Budget Einzelzimmer;1011; 101,10 
OLMA;St. Gallen ist schön;506; 50,60 
OLMA;Ganzes Haus mit Pool und Homecinema in Rotmonten;5060; 506,00 
OLMA;Säntiszimmer;438; 43,80 
OLMA;Zentrale Stadtwohnung mit Terasse;1939; 193,90 
OLMA;Ruhiges Loft am Park (Anliegerstrasse) - Bodensee;815; 81,50 
OLMA;Geräumige 95 m² Wohnung • Balkon • Bergblick;1430; 143,00 
OLMA;Exklusive Jugendstil-Wohnung Nähe Olma/Uni/Zentrum;1621; 162,10 
;;;
