zeitraum,unterkunft_name,preis_chf
open air,"Attika 2,5 Zimmer möbliert Nähe HSG Universität",198.0
open air,Elegante 3 Zimmer Residenz,252.33
open air,kleines Juwel -mit Terrasse,158.33
open air,heimelige Wohnung in Goldach,124.33
open air,TouchBed | Superior-Studio,241.0
open air,Gemütliche Unterkunft am ruhigen Stadtrand,114.33
open air,Historischer Charme in der Altstadt. Superior-DZ,110.33
open air,Engelburg Zuhause mit Aussicht,82.0
open air,Stilvolles Doppelzimmer/Historisches Altstadtflair,91.67
open air,Liebevolle kleine Wohnung in St. Gallen nähe Uni,95.0
open air,St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil,99.67
open air,"Nähe Theater, Olma, Uni, Stadtzentrum",111.33
open air,Grosszügige Garten-Wohnung,215.67
open air,Es können zwei Personen darin schlafen.,60.0
open air,"Klara 1034- Olma, Spital, Universität St. Gallen",339.67
open air,Gemütliches Apartment am Schloss,120.0
open air,Studio-Apartment im Zentrum Rorschach,115.0
open air,Bella Vista,158.67
open air,"Haus mit Garten, ruhig, Top Aussicht, (Zimmer 1)",86.0
open air,"1 Zi-Studio zentral, ruhig im Gertrud Schlössli",152.0
open air,Schlossapartament,110.0
open air,Ruhiges Tiny House in der Nähe des Waldes,158.33
open air,"Herzige Dachwohnung in St. Georgen, St. Gallen",154.67
open air,"Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!",295.67
open air,Ruhiger Ort auf dem Dorfhügel.,46.33
open air,Appenzellerhaus mit viel Charme am Fusse des Kaien,84.33
open air,"Gelb, gelb, gelb, gelb!",208.0
open air,"Zwei helle Zimmer, Küche und Bad",115.33
open air,Gästezimmer im Grünen,75.0
open air,Stadtwohnung mit Küche & gratis Parkplatz,353.0
open air,Modernes Studio nahe Bodensee | Ruhig & zentral,110.67
open air,"Klara 1033 - Olma, Spital, Universität St. Gallen",323.33
open air,Ganze Wohnung mitten in der Altstadt von Arbon,123.0
open air,Premium Atmosphäre pur,447.67
open air,BLIV: Exklusive Dachgeschosswohnung im Zentrum,485.33
open air,Casa Siddhartha - R. Musil,82.67
open air,"Ruhig, Gratis Parkplatz, Balkon & im 1. Stockwerk",323.67
open air,Doppelzimmer ruhige Lage nahe ÖV,132.67
open air,Modernes Studio – Steigerstraße,236.0
open air,Wellnessoase,296.0
open air,"YELLOW INN 7 nähe Uni, Olma, Spital, FHS",237.67
open air,S-Cape Suite&Spa - Pure Auszeit,269.0
open air,Schöne 2 1/2 Zimmer Dachwohnung,206.0
open air,Genieße den Seeblick von der Dachterrasse,251.33
open air,"Ferienhaus Bijou-Sitterblick, Preis für 2 Personen",119.33
open air,TouchBed | Business Apartment Top Floor,254.0
open air,Nani’s Höckli im Appenzellerland,104.0
open air,"Klara 0002 - Olma, Spital, Universität St. Gallen",339.33
open air,Casa Siddhartha - „H.Hesse“,74.67
open air,Swissyurte (Rundhaus) Natur pur Ideal für 2 Pers.,99.67
open air,"Haus mit Garten, ruhig, Top Aussicht (Zimmer 2)",86.0
open air,Helle Wohnung in Rorschacherberg am Bodensee,90.33
open air,"""2 Kronberg"" ruhige Lage, freundl. Zimmer, seenah",76.0
open air,Ruhe für Musiker! B&B am Bodensee.,160.33
open air,Charmante Wohnung mit Blick zum Säntis,230.67
open air,Penthouse-Wohnung mit 250 m² Terrasse,325.67
open air,"YELLOW INN B 28 nähe Uni, Olma, Spital, FHS",237.67
open air,Vintage Rustica 31 zur Olma 1 Min.,258.33
open air,Superior Apartment mit Seesicht,217.67
open air,Haus MiLu Ferienwohnung,150.0
open air,TouchBed | Loft mit Loggia und Whirlpool,509.0
open air,Studio mit Balkon in der Altstadt von St. Gallen,370.33
open air,Moderne Wohnung nahe Messe und Zentrum,374.0
open air,See-Wohnung mit Gratisparkplatz,211.0
open air,"Klara 1014 – Olma, Spital, Uni St. Gallen",368.0
