St. Gallen Open Air;;
Name;Preis pro Nacht in CHF;Gesamtpreis in CHF
Möblierte stilvolle Wohnung nähe HSG Universität; 185,67 ;557
heimelige Wohnung in Goldach; 124,33 ;373
Attika 2,5 Zimmer möbliert Nähe HSG Universität; 192,67 ;578
Möbliertes Studio mit Garten; 64,33 ;193
Happystay Zentrum Busticket 4free; 108,33 ;325
Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum; 239,00 ;717
Historischer Charme in der Altstadt. Superior DZ; 102,67 ;308
Studio-Apartment im Zentrum Rorschach; 115,00 ;345
Bella Vista; 154,67 ;464
Gelb, gelb, gelb, gelb!; 208,00 ;624
TouchBed | Superior-Studio; 249,33 ;748
Gemütliche Unterkunft am ruhigen Stadtrand; 114,33 ;343
Ganze Wohnung mitten in der Altstadt von Arbon; 123,00 ;369
Gemütliches Apartment am Schloss; 120,00 ;360
Schlossapartament; 110,00 ;330
spezielle Wohnung in Goldach; 124,33 ;373
Zentrales Studio | 5 Min. zum Bahnhof; 266,00 ;798
1 Zi-Studio zentral, ruhig im Gertrud Schlössli; 152,33 ;457
Superior Apartment mit Seesicht; 217,67 ;653
Appenzellerhaus mit viel Charme am Fusse des Kaien; 84,33 ;253
Haus mit Garten, ruhig, Top Aussicht, (Zimmer 1); 86,00 ;258
Premium Atmosphäre pur; 441,33 ;1324
Elegante 3 Zimmer Residenz; 189,67 ;569
Ruhiges Tiny House in der Nähe des Waldes; 158,33 ;475
Schöne 2 1/2 Zimmer Dachwohnung; 190,00 ;570
Nachhaltig Wohnen im 1. Stock, gratis Parkplatz!; 354,67 ;1064
Es können zwei Personen darin schlafen.; 60,00 ;180
Klara 1034- Olma, Spital, Universität St. Gallen; 415,33 ;1246
Penthouse-Wohnung mit 250 m² Terrasse; 325,67 ;977
Leimathof Wohnung Typ II;241;723
;;
;;
OLMA;;
Name;Preis pro Nacht in CHF;Gesamtpreis in CHF
4 Zimmer mit Charme an bester Lage; 132,90 ;1329
Gemütliche Wohnung; 80,20 ;802
Studio in ruhigem Quartier/UG; 100,80 ;1008
St.Gallen zentral, ruhig, bei Badeweihern und Wald; 115,70 ;1157
Charmante Wohnung auf dem Lande und doch zentral; 105,00 ;1050
gemütliche Dachwohnung; 94,80 ;948
2.5 Zimmer Dachwohnung mit Gartensitzplatz; 119,30 ;1193
heimelige Wohnung in Goldach; 96,20 ;962
Bella Vista; 100,80 ;1008
2 Zimmer mit Balkon, Netflix und Mietfahrräder; 106,90 ;1069
2.5 Zimmer, modern, ruhig und zentrumsnah; 139,60 ;1396
Stilvolle Wohnung, historischer Charme/Altstadt; 231,70 ;2317
Haus am Bodensee mit grossem Garten; 150,50 ;1505
Bijoux Ferienwohnung auf Bauernhof im Wald; 91,60 ;916
BLIV: Grosszügiges Altbaujuwel im Zentrum; 344,40 ;3444
Kernsanierte Wohnung nähe Bahnhof und Zentrum; 117,30 ;1173
1-Zimmer-Wohnung, voll möbliert, modern, zentral; 104,70 ;1047
2. Modernes Apartment 2 Min vom Bahnhof; 153,30 ;1533
Ganze Wohnung mitten in der Altstadt von Arbon; 90,10 ;901
Charmante und zentrale Wohnung am Weiherpark Arbon; 128,00 ;1280
Weltbürger:in 7; 122,80 ;1228
Zur Geduld (direkt am Bahnhof); 84,50 ;845
Idyllische Wohnung in der Natur; 142,60 ;1426
Studio Trailalps: in der Nähe von St. Gallen; 65,70 ;657
Ferienwohnung Narnia; 100,30 ;1003
1 Zimmerwohnung ohne Küche mitten im Zentrum; 76,60 ;766
Wohnung 2-3 Bett in Rorschach am Bodensee; 94,60 ;946
Historischer Charme in der Altstadt. Superior-DZ; 137,10 ;1371
TouchBed | Budget Zwei-Bett-Zimmer; 107,70 ;1077
Historischer Charme in der Altstadt. Superior DZ; 115,50 ;1155
