Open Air St. Gallen;;
Name;Price;PricePerNight
Möbliertes Studio mit Garten;296 CHF;98.67 CHF
Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;301 CHF;100.33 CHF
Das Haus mit dem Schwein;198 CHF;66.00 CHF
Elegante 3 Zimmer Residenz;562 CHF;187.33 CHF
heimelige Wohnung in Goldach;286 CHF;95.33 CHF
Komfortables Doppelzimmer – zentral;132 CHF;44.00 CHF
Engelburg Zuhause mit Aussicht;151 CHF;50.33 CHF
1er Zimmer ruhig 5 Min. bis ÖV;201 CHF;67.00 CHF
Stadtstudio;406 CHF;135.33 CHF
Happystay Zentrum Busticket 4free;386 CHF;128.67 CHF
Einfamilienhaus, freistehend, 2 SZ, Nähe Zentrum;710 CHF;236.67 CHF
Ganze Wohnung mitten in der Altstadt von Arbon;283 CHF;94.33 CHF
Hotel Elite 24-Stunden-Self-Check-in;246 CHF;82.00 CHF
Es können zwei Personen darin schlafen.;139 CHF;46.33 CHF
Studio-Apartment im Zentrum Rorschach;337 CHF;112.33 CHF
Attika 2,5 Zimmer möbliert Nähe HSG Universität;571 CHF;190.33 CHF
Gemütliche Unterkunft am ruhigen Stadtrand;336 CHF;112.00 CHF
Bella Vista;464 CHF;154.67 CHF
Appenzellerhaus mit viel Charme am Fusse des Kaien;156 CHF;52.00 CHF
spezielle Wohnung in Goldach;297 CHF;99.00 CHF
TouchBed | Superior-Studio;717 CHF;239.00 CHF
Gelb, gelb, gelb, gelb!;616 CHF;205.33 CHF
Möblierte stilvolle Wohnung nähe HSG Universität;550 CHF;183.33 CHF
Schlossapartament;375 CHF;125.00 CHF
Schönes Zimmer in der Nähe des Stadtzentrums;128 CHF;42.67 CHF
Schöne 2 1/2 Zimmer Dachwohnung;459 CHF;153.00 CHF
Gästezimmer mit Dusche/WC;191 CHF;63.67 CHF
Casa Siddhartha - „H.Hesse“;165 CHF;55.00 CHF
Gemütliches Apartment am Schloss;360 CHF;120.00 CHF
Geniesse den Seeblick von der Dachterasse;728 CHF;242.67 CHF
;;
OLMA ST. Gallen;;
Name;Price;PricePerNight
Möbliertes Studio mit Garten;686 CHF;68.60 CHF
Gemütliche Wohnung;851 CHF;85.10 CHF
Das Haus mit dem Schwein;628 CHF;62.80 CHF
heimelige Wohnung in Goldach;730 CHF;73.00 CHF
Studio im UG an ruhiger Lage;773 CHF;77.30 CHF
St.Gallen zentral, ruhig, bei Badeweihern und Wald;1’104 CHF;110.40 CHF
Charmante Wohnung auf dem Lande und doch zentral;957 CHF;95.70 CHF
Studio mit Panoramaaussicht;710 CHF;71.00 CHF
Ganze Wohnung mitten in der Altstadt von Arbon;690 CHF;69.00 CHF
St. Gallen Zimmer Nähe Uni/Stadtzentrum Jugendstil;843 CHF;84.30 CHF
4 Zimmer mit Charme an bester Lage;1’306 CHF;130.60 CHF
Zur Geduld (direkt am Bahnhof);884 CHF;88.40 CHF
2.5 Zimmer Dachwohnung mit Gartensitzplatz;1’078 CHF;107.80 CHF
BLIV: Grosszügiges Altbaujuwel im Zentrum;3’421 CHF;342.10 CHF
Schönes Zimmer in der Nähe von HSG;656 CHF;65.60 CHF
Deine ruhige Basis mit eigenem Balkon;655 CHF;65.50 CHF
Historischer Charme in der Altstadt. Superior DZ;1’239 CHF;123.90 CHF
Ferienwohnung im Fürstenland 2.OG;1’029 CHF;102.90 CHF
Haus am Bodensee mit grossem Garten;1’630 CHF;163.00 CHF
Bella Vista;1’212 CHF;121.20 CHF
Zentrales, gemütliches Zuhause in der Nähe von HSG/FH/Olma-Gegend/Krankenhaus;842 CHF;84.20 CHF
1er Zimmer ruhig 5 Min. bis ÖV;660 CHF;66.00 CHF
Stilvolle Wohnung, historischer Charme/Altstadt;2’479 CHF;247.90 CHF
Studio mit Charme und Aussicht;710 CHF;71.00 CHF
2. Modernes Apartment 2 Min vom Bahnhof;1’720 CHF;172.00 CHF
Studio in ruhigem Quartier/UG;985 CHF;98.50 CHF
Charmante und zentrale Wohnung am Weiherpark Arbon;1’390 CHF;139.00 CHF
Historischer Charme in der Altstadt. Superior-DZ;1’346 CHF;134.60 CHF
Fühlen sie sich wie zu Hause;602 CHF;60.20 CHF
1 Zimmerwohnung ohne Küche mitten im Zentrum;809 CHF;80.90 CHF
